kind,domain,name,min_gray,max_gray,height_norm_mean,height_norm_std,grad_p95_um_per_um,grad_p995_um_per_um,curv_power_positive_frac,point_focus_frac_1_5mm,point_focus_frac_1_10mm,line_caustic_frac_1_5mm,median_point_focus_mm,spectral_centroid_norm,best_focus_score,best_z_mm,best_max_to_mean,best_p99_to_mean,best_p999_to_mean,best_bright_frac,best_logamp_grad_energy,amp_mean_at_best,amp_std_at_best,pc1,pc2,caustic_weight,caustic_focus_mm,caustic_radius_um,sampler_profile
dataset,mla,mla/41,90,255,0.28962260484695435,0.32499271631240845,0.13388630747795105,0.13639913499355316,0.3647077922077922,0.12814935064935065,0.12827922077922077,0.43587662337662336,1.0373344421386719,0.22730372418280323,3.5757553577423096,6.0,3.5757553577423096,2.222759879950913,2.705138434271816,0.03142857142857143,0.04867514222860336,0.9019063115119934,0.42081642150878906,-13.283233642578125,5.739015102386475,,,,
dataset,mla,mla/42,90,188,0.3592376410961151,0.23129825294017792,0.08728266507387161,0.09090359508991241,0.48038961038961037,0.33305194805194804,0.34006493506493507,0.7000324675324675,2.1305992603302,0.20297489511329894,4.062686920166016,12.0,4.062686920166016,2.6454518794391997,3.2854730535283214,0.041850649350649353,0.059182584285736084,0.8611587882041931,0.4838029742240906,-6.055872917175293,3.282895565032959,,,,
dataset,mla,mla/43,90,180,0.3469862639904022,0.2192850112915039,0.08293267339468002,0.08649288862943649,0.47964285714285715,0.3293831168831169,0.33785714285714286,0.6884415584415584,2.2636899948120117,0.20228447868805619,4.1937127113342285,15.0,4.1937127113342285,2.648049966849509,3.2196355755214365,0.040779220779220776,0.06464933604001999,0.8595348000526428,0.4826250374317169,-5.478025436401367,3.1533031463623047,,,,
dataset,mla,mla/44,90,255,0.2599702775478363,0.31871339678764343,0.13583794236183167,0.13839063048362732,0.3428896103896104,0.09801948051948052,0.09805194805194806,0.4097727272727273,0.9504655599594116,0.2374746603108034,5.537354946136475,8.0,5.537354946136475,2.673444023029091,4.483300428955798,0.03597402597402597,0.05705110728740692,0.8700395822525024,0.4801237881183624,-13.850702285766602,5.714853763580322,,,,
dataset,mla,mla/45,90,249,0.4733334481716156,0.30457350611686707,0.11488236486911774,0.11952833831310272,0.4762662337662338,0.33555194805194805,0.33775974025974026,0.7320454545454546,1.628842830657959,0.20078278043192097,6.811635971069336,20.0,6.811635971069336,3.6378166881242517,4.958627792243205,0.046525974025974026,0.05969911813735962,0.8052810430526733,0.5612473487854004,-10.250016212463379,4.6215410232543945,,,,
dataset,mla,mla/46,90,184,0.3525390625,0.22448720037937164,0.08495284616947174,0.08854837715625763,0.47873376623376623,0.3296428571428571,0.33714285714285713,0.6934090909090909,2.1957173347473145,0.2034704699787231,3.9325621128082275,15.0,3.9325621128082275,2.5838261150502646,3.22137721396913,0.04220779220779221,0.06299212574958801,0.8608300089836121,0.4783776104450226,-5.825181007385254,3.174607992172241,,,,
dataset,mla,mla/47,90,255,0.2914576828479767,0.32491686940193176,0.1338762491941452,0.13634824752807617,0.36834415584415586,0.12762987012987012,0.12766233766233767,0.4390909090909091,1.0314456224441528,0.22904032812184327,3.8428945541381836,20.0,3.8428945541381836,2.426546118067577,2.9284012757547835,0.03766233766233766,0.05550595372915268,0.8714229464530945,0.4546710252761841,-13.454899787902832,5.517183303833008,,,,
dataset,mla,mla/48,90,173,0.32786595821380615,0.21137022972106934,0.08000288158655167,0.08306688070297241,0.4812012987012987,0.3319805194805195,0.3410064935064935,0.6848051948051948,2.3303732872009277,0.20434164759164378,4.34246826171875,6.0,4.34246826171875,2.8018850473463996,3.624151860823607,0.041655844155844154,0.05540074408054352,0.8458271622657776,0.5230483412742615,-4.965105056762695,2.861607313156128,,,,
dataset,mla,mla/49,90,237,0.4574041962623596,0.2886037230491638,0.10942228883504868,0.11412577331066132,0.4810714285714286,0.3361688311688312,0.3387012987012987,0.7309415584415584,1.709780216217041,0.20385909224779322,4.346948146820068,20.0,4.346948146820068,2.6581677440004747,3.471966775022568,0.04048701298701299,0.05070193484425545,0.852150559425354,0.4832572937011719,-9.542340278625488,4.279876708984375,,,,
dataset,mla,mla/50,90,193,0.37227869033813477,0.23574639856815338,0.08931208401918411,0.09314732253551483,0.48113636363636364,0.3337012987012987,0.3394805194805195,0.7037012987012987,2.098222017288208,0.20531550036008098,4.161253452301025,6.0,4.161253452301025,2.5873728659510147,3.2823335004831757,0.038214285714285715,0.05469208210706711,0.8692575097084045,0.48396560549736023,-6.518380641937256,3.244145154953003,,,,
dataset,mla,mla/51,90,219,0.4218995273113251,0.266365647315979,0.10094565153121948,0.10521433502435684,0.4810714285714286,0.3360714285714286,0.33990259740259743,0.7196103896103896,1.8634341955184937,0.20398219155802633,4.010251998901367,15.0,4.010251998901367,2.358539857662531,2.882993597238189,0.036948051948051945,0.054137684404850006,0.8777373433113098,0.4483505189418793,-8.330757141113281,3.9778499603271484,,,,
